Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
IND-01019,2024-04-11,2024-04-13,Express Delivery,CUST-1491,Corporate,India,Darbhanga,Bihar,533389,East,Home & Kitchen,Appliances,Bajaj Mixer Grinder,11135.51,6,0.0,2783.88
IND-01020,2024-03-12,2024-03-15,Express Delivery,CUST-2087,Consumer,India,Srinagar,Jammu & Kashmir,360280,North,Home & Kitchen,Cookware,Tawa Dosa,1648.66,3,0.1,148.38
IND-01021,2023-03-22,2023-03-24,Express Delivery,CUST-3202,Corporate,India,Bikaner,Rajasthan,186819,North,Office Supplies,Printers,Epson EcoTank,43537.52,5,0.3,3918.38
IND-01022,2022-03-13,2022-03-15,Express Delivery,CUST-2226,Small Business,India,Rourkela,Odisha,691542,East,Furniture,Sofas,3 Seater Fabric Sofa,76561.34,4,0.1,8421.75
IND-01023,2024-09-20,2024-09-26,Standard Delivery,CUST-3001,Consumer,India,Amritsar,Punjab,639959,North,Office Supplies,Stationery,Classmate Notebook Pack,779.11,3,0.0,93.49
IND-01024,2022-05-30,2022-06-02,Express Delivery,CUST-1039,Consumer,India,Dwarka,Delhi,698153,North,Clothing,Kids Wear,Kids School Uniform,502.89,1,0.2,30.17
IND-01025,2021-08-18,2021-08-23,Standard Delivery,CUST-1860,Consumer,India,Rohtak,Haryana,485190,North,Furniture,Beds,Queen Size Bed,61318.07,4,0.1,6744.99
IND-01026,2024-10-28,2024-11-02,Standard Delivery,CUST-1101,Consumer,India,Srinagar,Jammu & Kashmir,542322,North,Office Supplies,Labels,Barcode Labels,1517.65,6,0.15,22.76
IND-01027,2022-01-03,2022-01-08,Standard Delivery,CUST-2432,Consumer,India,Vasco da Gama,Goa,592662,West,Clothing,Women's Wear,Lehenga Choli,6379.59,1,0.15,733.65
IND-01028,2022-09-18,2022-09-24,Standard Delivery,CUST-2356,Small Business,India,Bhilai,Chhattisgarh,672262,Central,Furniture,Chairs,Plastic Chair Set,1591.4,1,0.05,183.01
IND-01029,2021-02-26,2021-03-03,Standard Delivery,CUST-4684,Small Business,India,Jalandhar,Punjab,513906,North,Furniture,Beds,Single Bed with Storage,8425.98,1,0.1,758.34
IND-01030,2024-03-26,2024-03-28,Express Delivery,CUST-2766,Government,India,Dharamsala,Himachal Pradesh,491913,North,Electronics,Accessories,boAt Rockerz 450,1926.48,2,0.2,115.59
IND-01031,2021-05-24,2021-05-30,Standard Delivery,CUST-1521,Consumer,India,Solapur,Maharashtra,691343,West,Home & Kitchen,Decor,Wall Clock Ajanta,1456.45,3,0.05,211.19
IND-01032,2022-01-28,2022-02-03,Standard Delivery,CUST-2809,Consumer,India,Mahe,Puducherry,597575,South,Clothing,Women's Wear,Salwar Kameez,2415.93,2,0.1,410.71
IND-01033,2023-06-25,2023-06-30,Standard Delivery,CUST-1920,Corporate,India,Nashik,Maharashtra,435498,West,Home & Kitchen,Bedding,Woollen Blanket,3595.0,3,0.05,593.18
IND-01034,2022-02-12,2022-02-15,Express Delivery,CUST-2636,Small Business,India,Jaipur,Rajasthan,628392,North,Electronics,Laptops,Asus VivoBook,58459.98,2,0.2,9938.2
IND-01035,2022-05-15,2022-05-17,Express Delivery,CUST-1546,Corporate,India,Bikaner,Rajasthan,588634,North,Electronics,Mobile Phones,OnePlus Nord,18150.96,1,0.2,3267.17
IND-01036,2023-08-10,2023-08-12,Express Delivery,CUST-2843,Small Business,India,Navi Mumbai,Maharashtra,607732,West,Home & Kitchen,Decor,Cushion Cover Set,806.5,2,0.15,52.42
IND-01037,2022-06-15,2022-06-21,Standard Delivery,CUST-1330,Consumer,India,Indore,Madhya Pradesh,676390,Central,Office Supplies,Labels,Barcode Labels,289.08,2,0.05,24.57
IND-01038,2021-10-11,2021-10-17,Standard Delivery,CUST-4706,Consumer,India,Jodhpur,Rajasthan,518396,North,Clothing,Women's Wear,Kurti Ethnic,1140.46,1,0.1,239.5
IND-01039,2024-04-11,2024-04-19,Economy Delivery,CUST-4061,Small Business,India,Ahmedabad,Gujarat,674365,West,Home & Kitchen,Bedding,Quilt Razai,1591.25,1,0.1,238.69
IND-01040,2024-01-24,2024-01-25,Same Day Delivery,CUST-4766,Corporate,India,Durg,Chhattisgarh,600094,Central,Furniture,Storage,Bookshelf 5-Tier,3756.23,1,0.1,413.19
IND-01041,2021-09-19,2021-09-24,Standard Delivery,CUST-2552,Consumer,India,Jowai,Meghalaya,382793,East,Electronics,Accessories,Laptop Bag,1471.05,2,0.0,250.08
IND-01042,2022-11-02,2022-11-07,Standard Delivery,CUST-1918,Small Business,India,Solan,Himachal Pradesh,476960,North,Office Supplies,Binders,Document Wallet,258.17,1,0.3,-25.82
IND-01043,2024-08-24,2024-08-26,Express Delivery,CUST-3865,Consumer,India,Panipat,Haryana,597623,North,Electronics,Mobile Phones,iPhone 14,71772.07,1,0.0,30144.27
IND-01044,2022-06-09,2022-06-17,Economy Delivery,CUST-4856,Corporate,India,Gwalior,Madhya Pradesh,525922,Central,Furniture,Beds,Queen Size Bed,45324.49,3,0.0,8158.41
IND-01045,2022-02-11,2022-02-13,Same Day Delivery,CUST-2754,Government,India,Hisar,Haryana,668623,North,Furniture,Chairs,Recliner Sofa Chair,48544.03,4,0.15,8495.21
IND-01046,2024-09-16,2024-09-19,Express Delivery,CUST-2783,Government,India,Visakhapatnam,Andhra Pradesh,270422,South,Home & Kitchen,Decor,Wall Clock Ajanta,1616.24,4,0.2,64.65
IND-01047,2021-12-27,2021-12-28,Same Day Delivery,CUST-4611,Small Business,India,Vasco da Gama,Goa,402477,West,Home & Kitchen,Bedding,Quilt Razai,3926.84,2,0.15,451.59
IND-01048,2023-07-13,2023-07-15,Same Day Delivery,CUST-4605,Consumer,India,Baramulla,Jammu & Kashmir,403243,North,Home & Kitchen,Bedding,Pillow Set,398.05,1,0.25,-5.97
IND-01049,2024-05-05,2024-05-07,Same Day Delivery,CUST-3915,Corporate,India,Vadodara,Gujarat,787278,West,Home & Kitchen,Cookware,Stainless Steel Set,11382.78,5,0.0,2162.73
IND-01050,2023-10-03,2023-10-09,Standard Delivery,CUST-4055,Corporate,India,Malda,West Bengal,556173,East,Electronics,Mobile Phones,Redmi Note 12,17295.37,1,0.15,2507.83
IND-01051,2024-02-02,2024-02-04,Express Delivery,CUST-1886,Consumer,India,Kozhikode,Kerala,310845,South,Clothing,Kids Wear,Baby Frock,607.76,1,0.0,115.47
IND-01052,2023-09-19,2023-09-24,Standard Delivery,CUST-2196,Corporate,India,Salem,Tamil Nadu,690238,South,Electronics,Laptops,Lenovo IdeaPad,34861.57,1,0.0,10458.47
IND-01053,2024-11-29,2024-12-05,Standard Delivery,CUST-4367,Consumer,India,Bikaner,Rajasthan,229629,North,Clothing,Men's Wear,Levi's Jeans,6683.03,2,0.1,1871.25
IND-01054,2021-05-14,2021-05-20,Standard Delivery,CUST-3441,Government,India,Nizamabad,Telangana,745770,South,Electronics,Mobile Phones,iPhone 14,61370.6,1,0.1,21479.71
IND-01055,2024-06-20,2024-06-22,Express Delivery,CUST-3562,Corporate,India,Baramulla,Jammu & Kashmir,327881,North,Clothing,Footwear,Puma Sneakers,7148.6,4,0.5,0.0
IND-01056,2022-03-09,2022-03-14,Standard Delivery,CUST-2180,Corporate,India,Coimbatore,Tamil Nadu,352720,South,Furniture,Tables,Dining Table 6 Seater,40792.25,2,0.0,7342.6
IND-01057,2024-12-18,2024-12-26,Economy Delivery,CUST-3230,Corporate,India,Kalaburagi,Karnataka,230351,South,Clothing,Men's Wear,Raymond Formal Shirt,6359.96,5,0.2,1017.59
IND-01058,2022-04-06,2022-04-14,Economy Delivery,CUST-2919,Small Business,India,Agartala,Tripura,240394,East,Office Supplies,Paper,A4 Ream 500 Sheets,275.45,1,0.2,-16.53
IND-01059,2024-11-11,2024-11-13,Express Delivery,CUST-1937,Corporate,India,Kalaburagi,Karnataka,205763,South,Clothing,Kids Wear,Boys Shorts Set,1718.07,2,0.1,188.99
IND-01060,2024-10-12,2024-10-19,Economy Delivery,CUST-2785,Corporate,India,Tezpur,Assam,723762,East,Electronics,Televisions,"Vu 4K 50""",35670.84,1,0.2,4637.21
IND-01061,2024-07-24,2024-07-27,Express Delivery,CUST-4332,Consumer,India,Patna,Bihar,529904,East,Clothing,Kids Wear,Boys Shorts Set,430.63,1,0.15,32.3
IND-01062,2024-02-01,2024-02-09,Economy Delivery,CUST-1222,Corporate,India,Pitampura,Delhi,543321,North,Electronics,Televisions,"Sony Bravia 50""",25995.24,1,0.4,1559.71
IND-01063,2022-01-20,2022-01-26,Standard Delivery,CUST-1118,Government,India,Rourkela,Odisha,237324,East,Home & Kitchen,Bedding,Quilt Razai,4880.71,3,0.05,902.93
IND-01064,2024-07-14,2024-07-19,Standard Delivery,CUST-4408,Government,India,Shillong,Meghalaya,789172,East,Furniture,Sofas,3 Seater Fabric Sofa,43148.72,2,0.0,7766.77
IND-01065,2021-11-12,2021-11-15,Express Delivery,CUST-4775,Consumer,India,Purnia,Bihar,309869,East,Office Supplies,Labels,Name Badge Labels,127.93,1,0.2,-6.4
IND-01066,2024-05-12,2024-05-17,Standard Delivery,CUST-3973,Small Business,India,Puri,Odisha,406578,East,Furniture,Chairs,Recliner Sofa Chair,36654.25,3,0.25,3848.7
IND-01067,2022-09-04,2022-09-10,Standard Delivery,CUST-3856,Corporate,India,Tezpur,Assam,307816,East,Clothing,Women's Wear,Anarkali Suit,5170.89,2,0.05,1163.45
IND-01068,2022-05-05,2022-05-12,Economy Delivery,CUST-4951,Consumer,India,Silchar,Assam,629389,East,Furniture,Storage,5-Door Wardrobe,16042.56,1,0.1,1283.4
IND-01069,2021-03-17,2021-03-20,Express Delivery,CUST-4972,Corporate,India,Ajmer,Rajasthan,796587,North,Home & Kitchen,Decor,Wall Clock Ajanta,1948.82,4,0.1,214.37
IND-01070,2021-11-13,2021-11-19,Standard Delivery,CUST-3943,Small Business,India,Karnal,Haryana,767246,North,Office Supplies,Binders,Document Wallet,591.83,2,0.25,-38.47
IND-01071,2023-09-27,2023-10-02,Standard Delivery,CUST-3883,Corporate,India,Ranchi,Jharkhand,774532,East,Home & Kitchen,Cookware,Non-Stick Pan Set,1767.01,2,0.3,-17.67
IND-01072,2021-07-25,2021-07-31,Standard Delivery,CUST-3792,Consumer,India,Howrah,West Bengal,703418,East,Office Supplies,Stationery,Classmate Notebook Pack,233.78,1,0.0,28.05
IND-01073,2022-01-04,2022-01-07,Express Delivery,CUST-3731,Consumer,India,Haridwar,Uttarakhand,377729,North,Electronics,Accessories,Laptop Bag,1858.1,3,0.1,185.81
IND-01074,2021-01-20,2021-01-28,Economy Delivery,CUST-4462,Consumer,India,Korba,Chhattisgarh,589027,Central,Office Supplies,Labels,Address Labels Roll,95.57,1,0.3,-10.51
IND-01075,2022-09-11,2022-09-17,Standard Delivery,CUST-1033,Corporate,India,Solan,Himachal Pradesh,397813,North,Clothing,Men's Wear,Raymond Formal Shirt,1017.83,1,0.1,234.1
IND-01076,2024-03-05,2024-03-11,Standard Delivery,CUST-3573,Consumer,India,Mumbai,Maharashtra,253423,West,Home & Kitchen,Bedding,Pillow Set,1879.55,3,0.05,234.94
IND-01077,2021-07-18,2021-07-24,Standard Delivery,CUST-1822,Government,India,Dharmanagar,Tripura,294171,East,Electronics,Televisions,"MI TV 43""",18971.08,1,0.1,3414.79
IND-01078,2021-09-28,2021-10-04,Standard Delivery,CUST-4294,Small Business,India,Durg,Chhattisgarh,465168,Central,Office Supplies,Labels,Name Badge Labels,342.54,5,0.2,-17.13
IND-01079,2021-08-24,2021-08-29,Standard Delivery,CUST-2509,Small Business,India,Kolkata,West Bengal,586877,East,Furniture,Tables,Study Table,20074.85,6,0.2,200.75
IND-01080,2024-10-09,2024-10-11,Express Delivery,CUST-1258,Small Business,India,Vasco da Gama,Goa,789112,West,Home & Kitchen,Bedding,Pillow Set,859.02,1,0.05,107.38
IND-01081,2024-07-25,2024-07-30,Standard Delivery,CUST-2858,Corporate,India,Bardhaman,West Bengal,517524,East,Office Supplies,Printers,HP LaserJet,7051.58,1,0.3,493.61
IND-01082,2023-01-30,2023-02-05,Standard Delivery,CUST-2816,Government,India,Navi Mumbai,Maharashtra,337823,West,Clothing,Women's Wear,Anarkali Suit,6231.17,3,0.2,747.74
IND-01083,2023-06-30,2023-07-08,Economy Delivery,CUST-3714,Consumer,India,Anantnag,Jammu & Kashmir,206126,North,Electronics,Televisions,"Vu 4K 50""",103678.81,5,0.15,17107.0
IND-01084,2022-03-11,2022-03-16,Standard Delivery,CUST-1884,Corporate,India,Dharmanagar,Tripura,724867,East,Home & Kitchen,Cookware,Prestige Pressure Cooker,4338.25,3,0.05,802.58
IND-01085,2022-04-23,2022-04-24,Same Day Delivery,CUST-1539,Corporate,India,Alappuzha,Kerala,137032,South,Furniture,Beds,Queen Size Bed,8704.43,1,0.5,-1479.75
IND-01086,2021-01-31,2021-02-05,Standard Delivery,CUST-2836,Consumer,India,Nellore,Andhra Pradesh,609380,South,Furniture,Beds,Single Bed with Storage,9110.57,1,0.05,1138.82
IND-01087,2023-01-12,2023-01-15,Express Delivery,CUST-3635,Government,India,Berhampur,Odisha,590292,East,Electronics,Accessories,Laptop Bag,598.27,1,0.15,38.89
IND-01088,2021-03-05,2021-03-07,Express Delivery,CUST-2126,Consumer,India,Pitampura,Delhi,242321,North,Clothing,Footwear,Bata Formal Shoes,3143.43,2,0.25,392.93
IND-01089,2024-07-02,2024-07-07,Standard Delivery,CUST-3666,Corporate,India,Dharmanagar,Tripura,796516,East,Home & Kitchen,Decor,Cushion Cover Set,3566.19,10,0.1,356.62
IND-01090,2024-02-04,2024-02-10,Standard Delivery,CUST-2533,Corporate,India,Margao,Goa,377271,West,Clothing,Footwear,Nike Running Shoes,7554.3,2,0.2,1813.03
IND-01091,2021-11-09,2021-11-12,Express Delivery,CUST-2682,Small Business,India,Thane,Maharashtra,238168,West,Electronics,Mobile Phones,Samsung Galaxy A54,29587.35,1,0.0,8284.46
IND-01092,2022-12-26,2022-12-31,Standard Delivery,CUST-4462,Consumer,India,Kolhapur,Maharashtra,477121,West,Electronics,Televisions,"Vu 4K 50""",38445.54,1,0.0,10380.3
IND-01093,2024-02-14,2024-02-16,Express Delivery,CUST-4805,Small Business,India,Visakhapatnam,Andhra Pradesh,748577,South,Office Supplies,Labels,Address Labels Roll,410.4,4,0.2,-16.42
IND-01094,2024-09-09,2024-09-17,Economy Delivery,CUST-1581,Consumer,India,Vadodara,Gujarat,182965,West,Electronics,Laptops,Lenovo IdeaPad,104969.09,3,0.05,27816.81
IND-01095,2024-07-20,2024-07-21,Same Day Delivery,CUST-1637,Corporate,India,Kanpur,Uttar Pradesh,165164,North,Home & Kitchen,Appliances,Crompton Fan,4166.02,2,0.05,854.03
IND-01096,2021-11-19,2021-11-24,Standard Delivery,CUST-2760,Consumer,India,Ujjain,Madhya Pradesh,471939,Central,Electronics,Mobile Phones,Redmi Note 12,41191.11,2,0.1,7414.4
IND-01097,2021-08-16,2021-08-21,Standard Delivery,CUST-4130,Consumer,India,Kalaburagi,Karnataka,253901,South,Home & Kitchen,Bedding,Pillow Set,607.14,1,0.1,54.64
IND-01098,2022-06-08,2022-06-11,Express Delivery,CUST-2626,Corporate,India,Hubli,Karnataka,185576,South,Electronics,Mobile Phones,OnePlus Nord,60318.83,3,0.0,19302.03
IND-01099,2021-03-28,2021-04-02,Standard Delivery,CUST-1703,Consumer,India,Puducherry,Puducherry,450544,South,Clothing,Men's Wear,Nike T-Shirt,1672.63,2,0.1,351.25
IND-01100,2024-06-19,2024-06-25,Standard Delivery,CUST-1907,Corporate,India,Malda,West Bengal,466005,East,Office Supplies,Stationery,Scissors,470.89,4,0.05,35.32
IND-01101,2022-11-14,2022-11-15,Same Day Delivery,CUST-1421,Corporate,India,Indore,Madhya Pradesh,357745,Central,Electronics,Mobile Phones,Realme 11 Pro,48304.86,2,0.25,4588.96
IND-01102,2021-10-27,2021-11-02,Standard Delivery,CUST-3633,Small Business,India,Tiruchirappalli,Tamil Nadu,701912,South,Furniture,Beds,King Size Bed,84636.26,3,0.15,8040.44
IND-01103,2024-07-25,2024-07-30,Standard Delivery,CUST-2891,Consumer,India,Tura,Meghalaya,435486,East,Office Supplies,Paper,Colour Paper Pack,208.49,1,0.1,4.17
IND-01104,2023-07-15,2023-07-20,Standard Delivery,CUST-4723,Corporate,India,New Delhi,Delhi,581579,North,Office Supplies,Binders,Ring Binder A4,313.08,2,0.4,-40.7
IND-01105,2024-03-16,2024-03-17,Same Day Delivery,CUST-3646,Small Business,India,Agartala,Tripura,639057,East,Office Supplies,Labels,Barcode Labels,248.76,2,0.3,-22.39
IND-01106,2021-12-20,2021-12-26,Standard Delivery,CUST-1214,Consumer,India,Janakpuri,Delhi,736928,North,Clothing,Footwear,Woodland Boots,9402.35,2,0.0,3008.75
IND-01107,2024-07-16,2024-07-23,Economy Delivery,CUST-1333,Small Business,India,Udaipur,Tripura,459555,East,Electronics,Televisions,"Samsung 43"" 4K",52548.67,2,0.1,12086.19
IND-01108,2024-04-08,2024-04-11,Express Delivery,CUST-3744,Corporate,India,Nagpur,Maharashtra,244001,West,Office Supplies,Binders,Document Wallet,167.95,1,0.15,0.84
IND-01109,2024-12-10,2024-12-15,Standard Delivery,CUST-1634,Government,India,Panaji,Goa,254247,West,Clothing,Kids Wear,Kids School Uniform,800.44,1,0.0,160.09
IND-01110,2021-06-08,2021-06-13,Standard Delivery,CUST-1178,Consumer,India,Davanagere,Karnataka,568933,South,Electronics,Mobile Phones,Redmi Note 12,42467.86,4,0.15,6157.84
IND-01111,2023-04-22,2023-04-28,Standard Delivery,CUST-2506,Corporate,India,Rajahmundry,Andhra Pradesh,313440,South,Furniture,Storage,Filing Cabinet,5015.46,1,0.15,426.31
IND-01112,2024-10-21,2024-10-24,Express Delivery,CUST-3626,Consumer,India,Silchar,Assam,164714,East,Clothing,Kids Wear,Boys Shorts Set,1427.86,2,0.1,157.06
IND-01113,2023-09-12,2023-09-13,Same Day Delivery,CUST-4345,Corporate,India,Kurnool,Andhra Pradesh,342823,South,Electronics,Mobile Phones,Redmi Note 12,13389.64,1,0.0,3347.41
IND-01114,2023-07-13,2023-07-18,Standard Delivery,CUST-2373,Consumer,India,Visakhapatnam,Andhra Pradesh,791533,South,Clothing,Men's Wear,Woodland Jacket,6559.43,2,0.05,1869.44
IND-01115,2021-10-27,2021-11-01,Standard Delivery,CUST-3247,Government,India,Jaipur,Rajasthan,266782,North,Office Supplies,Printers,Canon Inkjet,30794.25,3,0.1,5542.97
IND-01116,2024-05-31,2024-06-05,Standard Delivery,CUST-3444,Small Business,India,Sambalpur,Odisha,634108,East,Electronics,Televisions,"LG OLED 55""",73840.47,1,0.0,28059.38
IND-01117,2024-01-03,2024-01-08,Standard Delivery,CUST-4992,Corporate,India,Mathura,Uttar Pradesh,658913,North,Home & Kitchen,Appliances,Havells Toaster,1244.14,1,0.0,273.71
IND-01118,2023-01-09,2023-01-12,Express Delivery,CUST-2412,Consumer,India,Hisar,Haryana,180841,North,Home & Kitchen,Cookware,Tawa Dosa,2333.59,4,0.0,373.37
IND-01119,2022-05-09,2022-05-11,Same Day Delivery,CUST-3587,Consumer,India,Panaji,Goa,611776,West,Home & Kitchen,Decor,Photo Frame Set,331.86,1,0.1,26.55
IND-01120,2022-01-09,2022-01-17,Economy Delivery,CUST-2939,Consumer,India,Bhilai,Chhattisgarh,679408,Central,Electronics,Accessories,boAt Rockerz 450,1051.06,1,0.0,210.21
IND-01121,2022-06-03,2022-06-11,Economy Delivery,CUST-2388,Consumer,India,Janakpuri,Delhi,515426,North,Office Supplies,Binders,Ring Binder A4,1022.14,4,0.05,117.55
IND-01122,2022-01-18,2022-01-20,Same Day Delivery,CUST-1420,Corporate,India,Purnia,Bihar,446814,East,Clothing,Kids Wear,Baby Frock,2153.54,4,0.15,183.05
IND-01123,2021-06-13,2021-06-19,Standard Delivery,CUST-2781,Consumer,India,Palakkad,Kerala,754718,South,Office Supplies,Binders,Document Wallet,378.68,2,0.1,15.15
IND-01124,2022-07-17,2022-07-19,Same Day Delivery,CUST-1517,Consumer,India,Agartala,Tripura,146489,East,Electronics,Accessories,MI Power Bank,1284.73,2,0.15,96.35
IND-01125,2021-05-18,2021-05-19,Same Day Delivery,CUST-2503,Consumer,India,Anantnag,Jammu & Kashmir,665178,North,Office Supplies,Printers,HP LaserJet,20842.99,2,0.15,3647.52
IND-01126,2023-03-27,2023-04-02,Standard Delivery,CUST-1878,Government,India,Palakkad,Kerala,577951,South,Office Supplies,Paper,A4 Ream 500 Sheets,360.12,1,0.0,28.81
IND-01127,2024-06-07,2024-06-15,Economy Delivery,CUST-3906,Corporate,India,Kalaburagi,Karnataka,474301,South,Clothing,Women's Wear,Saree Banarasi Silk,3884.49,1,0.0,971.12
IND-01128,2021-05-13,2021-05-15,Express Delivery,CUST-4244,Small Business,India,Hazaribagh,Jharkhand,320743,East,Office Supplies,Binders,File Folder Pack,375.85,3,0.3,-33.83
IND-01129,2021-10-12,2021-10-19,Economy Delivery,CUST-2630,Consumer,India,Baramulla,Jammu & Kashmir,434314,North,Electronics,Televisions,"Vu 4K 50""",86872.01,2,0.1,17374.4
IND-01130,2023-09-08,2023-09-13,Standard Delivery,CUST-2772,Corporate,India,Sambalpur,Odisha,245300,East,Clothing,Men's Wear,Raymond Formal Shirt,5914.69,6,0.15,1153.36
IND-01131,2023-10-27,2023-11-04,Economy Delivery,CUST-2026,Consumer,India,Dwarka,Delhi,192690,North,Home & Kitchen,Appliances,Philips Iron,1648.08,1,0.05,271.93
IND-01132,2022-02-07,2022-02-09,Express Delivery,CUST-3951,Corporate,India,Dharmanagar,Tripura,764813,East,Office Supplies,Paper,Sticky Notes Pack,325.58,2,0.0,32.56
IND-01133,2024-05-24,2024-05-30,Standard Delivery,CUST-3617,Consumer,India,Alappuzha,Kerala,758133,South,Home & Kitchen,Cookware,Prestige Pressure Cooker,1156.24,1,0.3,11.56
IND-01134,2021-03-04,2021-03-09,Standard Delivery,CUST-2800,Consumer,India,Purnia,Bihar,275759,East,Home & Kitchen,Decor,Artificial Plant,1036.35,2,0.2,62.18
IND-01135,2023-05-02,2023-05-09,Economy Delivery,CUST-3109,Small Business,India,Bhagalpur,Bihar,498539,East,Furniture,Sofas,L-Shape Sofa,30264.36,1,0.15,2875.11
IND-01136,2024-02-25,2024-03-02,Standard Delivery,CUST-4943,Consumer,India,Jalandhar,Punjab,370330,North,Furniture,Storage,5-Door Wardrobe,13507.76,1,0.05,1553.39
IND-01137,2021-11-24,2021-11-30,Standard Delivery,CUST-2872,Consumer,India,Kollam,Kerala,639996,South,Office Supplies,Paper,Chart Paper Pack,402.22,2,0.1,8.04
IND-01138,2022-05-09,2022-05-14,Standard Delivery,CUST-2765,Corporate,India,Mandi,Himachal Pradesh,222718,North,Office Supplies,Stationery,Classmate Notebook Pack,249.8,1,0.1,12.49
IND-01139,2021-10-02,2021-10-08,Standard Delivery,CUST-2145,Corporate,India,Tirunelveli,Tamil Nadu,686566,South,Clothing,Kids Wear,Kids School Uniform,1675.42,2,0.1,217.8
IND-01140,2024-06-30,2024-07-06,Standard Delivery,CUST-1164,Consumer,India,Pune,Maharashtra,634369,West,Furniture,Chairs,Gaming Chair,5378.91,1,0.5,-537.89
IND-01141,2021-04-03,2021-04-09,Standard Delivery,CUST-4028,Government,India,Rohini,Delhi,756447,North,Office Supplies,Printers,Brother MFC,11413.79,1,0.25,1655.0
IND-01142,2022-09-05,2022-09-11,Standard Delivery,CUST-1109,Consumer,India,Jorhat,Assam,769827,East,Home & Kitchen,Bedding,Pillow Set,1224.23,2,0.0,195.88
IND-01143,2024-05-07,2024-05-08,Same Day Delivery,CUST-1129,Corporate,India,Muzaffarpur,Bihar,363961,East,Home & Kitchen,Appliances,Bajaj Mixer Grinder,4129.77,2,0.0,1032.44
