Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
IND-14168,2021-01-04,2021-01-12,Economy Delivery,CUST-1430,Corporate,India,Mahe,Puducherry,535967,South,Electronics,Accessories,boAt Rockerz 550,2194.04,2,0.1,285.23
IND-11893,2021-01-04,2021-01-06,Express Delivery,CUST-2254,Consumer,India,Secunderabad,Telangana,781604,South,Clothing,Footwear,Bata Formal Shoes,1996.58,1,0.15,389.33
IND-02047,2021-01-04,2021-01-09,Standard Delivery,CUST-1772,Consumer,India,Bhubaneswar,Odisha,777399,East,Electronics,Televisions,MI TV 43,20622.21,1,0.2,2268.44
IND-12004,2021-01-04,2021-01-06,Express Delivery,CUST-3086,Consumer,India,Manali,Himachal Pradesh,220012,North,Office Supplies,Labels,Name Badge Labels,86.39,1,0.15,-1.3
IND-06995,2021-01-04,2021-01-10,Standard Delivery,CUST-2605,Corporate,India,Mahe,Puducherry,236572,South,Furniture,Sofas,Recliner 2 Seater,130387.86,5,0.05,24121.75
IND-12108,2021-01-04,2021-01-10,Standard Delivery,CUST-2628,Corporate,India,Ranchi,Jharkhand,576658,East,Clothing,Mens Wear,Woodland Jacket,1819.34,1,0.5,-54.58
IND-10077,2021-01-04,2021-01-09,Standard Delivery,CUST-4565,Consumer,India,Jaipur,Rajasthan,751782,North,Office Supplies,Labels,Barcode Labels,529.83,3,0.1,26.49
IND-15382,2021-01-04,2021-01-05,Same Day Delivery,CUST-1063,Corporate,India,Nizamabad,Telangana,798749,South,Clothing,Footwear,Bata Formal Shoes,4454.7,2,0.1,1024.58
IND-10790,2021-01-05,2021-01-08,Express Delivery,CUST-2918,Consumer,India,Karol Bagh,Delhi,135683,North,Furniture,Storage,Filing Cabinet,11183.46,3,0.4,-1006.51
IND-12366,2021-01-05,2021-01-10,Standard Delivery,CUST-1166,Small Business,India,Tirunelveli,Tamil Nadu,705912,South,Electronics,Accessories,MI Power Bank 20K,761.91,1,0.2,30.48
IND-07684,2021-01-05,2021-01-13,Economy Delivery,CUST-2072,Corporate,India,Rohtak,Haryana,464129,North,Clothing,Womens Wear,Anarkali Suit,5438.17,2,0.1,1033.25
IND-11114,2021-01-05,2021-01-07,Express Delivery,CUST-2312,Government,India,Ranchi,Jharkhand,511259,East,Home & Kitchen,Appliances,Crompton Fan,21892.09,10,0.15,2955.43
IND-14150,2021-01-05,2021-01-07,Express Delivery,CUST-1196,Small Business,India,Muzaffarpur,Bihar,552959,East,Electronics,Accessories,MI Power Bank 20K,1967.27,2,0.0,354.11
IND-05003,2021-01-05,2021-01-08,Express Delivery,CUST-2177,Consumer,India,Roorkee,Uttarakhand,637629,North,Furniture,Sofas,L-Shape Sofa,66469.64,2,0.05,10967.49
IND-04054,2021-01-05,2021-01-11,Standard Delivery,CUST-2279,Small Business,India,Lucknow,Uttar Pradesh,152310,North,Office Supplies,Stationery,Scissors,137.64,1,0.0,15.14
IND-06886,2021-01-05,2021-01-08,Express Delivery,CUST-3362,Corporate,India,Jowai,Meghalaya,335017,East,Home & Kitchen,Appliances,Usha Sewing Machine,11540.79,3,0.25,1211.78
IND-13665,2021-01-05,2021-01-07,Express Delivery,CUST-3851,Government,India,Jodhpur,Rajasthan,309204,North,Clothing,Footwear,Woodland Boots,6659.86,2,0.1,1664.96
IND-01088,2021-01-06,2021-01-11,Standard Delivery,CUST-3411,Consumer,India,Madurai,Tamil Nadu,449498,South,Furniture,Beds,Single Bed Storage,35090.94,3,0.0,5614.55
IND-12173,2021-01-06,2021-01-12,Standard Delivery,CUST-3646,Consumer,India,Bikaner,Rajasthan,647080,North,Electronics,Televisions,MI TV 43,23975.34,1,0.1,4315.56
IND-15464,2021-01-06,2021-01-11,Standard Delivery,CUST-4220,Corporate,India,Rajkot,Gujarat,436976,West,Office Supplies,Binders,Ring Binder A4,480.54,2,0.3,-28.83
IND-03679,2021-01-06,2021-01-08,Express Delivery,CUST-4318,Corporate,India,Thrissur,Kerala,298983,South,Electronics,Mobile Phones,iPhone 15,68659.27,1,0.1,24030.74
IND-02358,2021-01-06,2021-01-14,Economy Delivery,CUST-3268,Consumer,India,Ludhiana,Punjab,351016,North,Home & Kitchen,Cookware,Prestige Pressure Cooker,4036.56,3,0.1,605.48
IND-14342,2021-01-06,2021-01-09,Express Delivery,CUST-4405,Consumer,India,Sambalpur,Odisha,217066,East,Furniture,Chairs,Plastic Chair Set,1658.59,1,0.1,132.69
IND-05949,2021-01-06,2021-01-08,Express Delivery,CUST-4739,Small Business,India,Shimla,Himachal Pradesh,391008,North,Furniture,Chairs,Recliner Chair,15482.05,1,0.1,3251.23
IND-16792,2021-01-06,2021-01-12,Standard Delivery,CUST-1175,Corporate,India,Rourkela,Odisha,416954,East,Office Supplies,Printers,HP LaserJet,10154.62,1,0.1,2132.47
IND-12194,2021-01-06,2021-01-08,Same Day Delivery,CUST-1910,Corporate,India,Rajkot,Gujarat,206597,West,Electronics,Mobile Phones,OnePlus Nord 3,19317.92,1,0.2,3477.23
IND-10322,2021-01-06,2021-01-11,Standard Delivery,CUST-1635,Small Business,India,Rourkela,Odisha,296288,East,Home & Kitchen,Appliances,Crompton Fan,4699.58,2,0.05,963.41
IND-05403,2021-01-06,2021-01-11,Standard Delivery,CUST-2808,Consumer,India,Kollam,Kerala,764151,South,Home & Kitchen,Cookware,Tawa Dosa,532.66,1,0.1,47.94
IND-10828,2021-01-07,2021-01-09,Same Day Delivery,CUST-3485,Corporate,India,Jammu,Jammu & Kashmir,422625,North,Office Supplies,Binders,File Folder Pack,170.28,1,0.1,8.51
IND-04182,2021-01-07,2021-01-12,Standard Delivery,CUST-1587,Consumer,India,Bhilai,Chhattisgarh,561141,Central,Clothing,Mens Wear,Raymond Formal Shirt,1098.16,1,0.05,291.01
IND-16984,2021-01-07,2021-01-14,Economy Delivery,CUST-2284,Consumer,India,Chennai,Tamil Nadu,432420,South,Home & Kitchen,Appliances,Usha Sewing Machine,10934.39,3,0.3,765.41
IND-10795,2021-01-07,2021-01-09,Same Day Delivery,CUST-3594,Consumer,India,Haridwar,Uttarakhand,358844,North,Furniture,Tables,Coffee Table,4613.11,1,0.2,92.26
IND-02161,2021-01-07,2021-01-13,Standard Delivery,CUST-4484,Corporate,India,Anantnag,Jammu & Kashmir,754929,North,Clothing,Footwear,Chappals Hawai,260.95,1,0.0,39.14
IND-05345,2021-01-07,2021-01-13,Standard Delivery,CUST-3105,Consumer,India,Vasco da Gama,Goa,570129,West,Furniture,Chairs,Gaming Chair,78433.65,10,0.3,3137.35
IND-04664,2021-01-07,2021-01-15,Economy Delivery,CUST-1107,Consumer,India,Siliguri,West Bengal,217573,East,Furniture,Storage,Kitchen Cabinet,10653.11,1,0.15,372.86
IND-03966,2021-01-07,2021-01-12,Standard Delivery,CUST-3908,Consumer,India,Kolhapur,Maharashtra,217976,West,Home & Kitchen,Decor,Table Lamp,3025.12,3,0.1,453.77
IND-11348,2021-01-07,2021-01-09,Express Delivery,CUST-3242,Corporate,India,Bathinda,Punjab,170281,North,Electronics,Televisions,MI TV 43,48113.93,2,0.1,8660.51
IND-07198,2021-01-07,2021-01-13,Standard Delivery,CUST-4712,Consumer,India,Bathinda,Punjab,277299,North,Office Supplies,Printers,HP LaserJet,11165.37,1,0.0,3126.3
IND-04783,2021-01-07,2021-01-12,Standard Delivery,CUST-1733,Government,India,Silchar,Assam,470592,East,Electronics,Mobile Phones,Redmi Note 13,14013.76,1,0.05,3012.96
IND-01962,2021-01-07,2021-01-09,Express Delivery,CUST-1567,Consumer,India,Dhanbad,Jharkhand,749323,East,Clothing,Womens Wear,Saree Banarasi Silk,4274.5,1,0.15,619.8
IND-07683,2021-01-08,2021-01-11,Express Delivery,CUST-4654,Consumer,India,Silchar,Assam,603124,East,Furniture,Sofas,L-Shape Sofa,72212.53,2,0.05,11915.07
IND-02840,2021-01-08,2021-01-11,Express Delivery,CUST-1554,Consumer,India,Mandi,Himachal Pradesh,770785,North,Office Supplies,Stationery,Pen Set Cello,103.0,1,0.0,10.3
IND-04139,2021-01-08,2021-01-11,Express Delivery,CUST-2455,Consumer,India,Erode,Tamil Nadu,726036,South,Furniture,Storage,5-Door Wardrobe,26076.41,2,0.25,-651.91
IND-10860,2021-01-08,2021-01-10,Same Day Delivery,CUST-3456,Consumer,India,Tura,Meghalaya,432393,East,Office Supplies,Labels,Name Badge Labels,89.4,1,0.15,-1.34
IND-13272,2021-01-08,2021-01-16,Economy Delivery,CUST-3350,Corporate,India,Nizamabad,Telangana,791171,South,Home & Kitchen,Cookware,Non-Stick Pan Set,1848.05,2,0.25,46.2
IND-12765,2021-01-08,2021-01-11,Express Delivery,CUST-1162,Small Business,India,Jodhpur,Rajasthan,585531,North,Electronics,Accessories,JBL Speaker Pro,8681.12,3,0.1,1302.17
IND-02067,2021-01-08,2021-01-10,Same Day Delivery,CUST-4838,Consumer,India,Guwahati,Assam,709252,East,Clothing,Mens Wear,Raymond Formal Shirt,3593.47,3,0.0,1078.04
IND-15427,2021-01-08,2021-01-09,Same Day Delivery,CUST-4131,Corporate,India,Bathinda,Punjab,338900,North,Office Supplies,Stationery,Pen Set Cello,93.95,1,0.0,9.4
IND-03694,2021-01-08,2021-01-13,Standard Delivery,CUST-2411,Consumer,India,Ranchi,Jharkhand,659330,East,Clothing,Mens Wear,Levis Jeans,4588.0,4,0.5,0.0
IND-06724,2021-01-08,2021-01-10,Same Day Delivery,CUST-2441,Corporate,India,Indore,Madhya Pradesh,548296,Central,Home & Kitchen,Appliances,Usha Sewing Machine,10118.04,2,0.15,1770.66
IND-10537,2021-01-09,2021-01-14,Standard Delivery,CUST-4276,Corporate,India,Panipat,Haryana,541301,North,Furniture,Tables,Coffee Table,23108.4,5,0.1,2079.76
IND-01522,2021-01-09,2021-01-15,Standard Delivery,CUST-2554,Government,India,Panaji,Goa,554692,West,Furniture,Beds,Bunk Bed,12878.7,1,0.1,1287.87
IND-13285,2021-01-09,2021-01-10,Same Day Delivery,CUST-1873,Government,India,Bhubaneswar,Odisha,255273,East,Home & Kitchen,Bedding,Quilt Razai,3788.77,2,0.0,833.53
IND-10117,2021-01-09,2021-01-15,Standard Delivery,CUST-3673,Corporate,India,Panaji,Goa,209312,West,Office Supplies,Binders,Ring Binder A4,1437.64,5,0.1,115.01
IND-16550,2021-01-09,2021-01-17,Economy Delivery,CUST-3897,Consumer,India,Nainital,Uttarakhand,699499,North,Furniture,Storage,Bookshelf 5-Tier,18290.12,4,0.0,3292.22
IND-09585,2021-01-09,2021-01-14,Standard Delivery,CUST-4018,Corporate,India,Howrah,West Bengal,130136,East,Furniture,Beds,Single Bed Storage,54729.95,5,0.0,8756.79
IND-07576,2021-01-09,2021-01-11,Express Delivery,CUST-4657,Government,India,Bhubaneswar,Odisha,501085,East,Office Supplies,Printers,Epson EcoTank,22582.2,2,0.15,4403.53
IND-12049,2021-01-09,2021-01-15,Standard Delivery,CUST-4417,Small Business,India,Bhilai,Chhattisgarh,534171,Central,Home & Kitchen,Cookware,Non-Stick Pan Set,1734.7,2,0.25,43.37
IND-14338,2021-01-10,2021-01-15,Standard Delivery,CUST-3455,Consumer,India,Lajpat Nagar,Delhi,486976,North,Electronics,Televisions,Samsung 43 4K,30326.9,1,0.05,8036.63
IND-10690,2021-01-10,2021-01-17,Economy Delivery,CUST-4850,Corporate,India,Kalaburagi,Karnataka,757422,South,Furniture,Sofas,Recliner 2 Seater,77520.42,3,0.1,11628.06
IND-15756,2021-01-10,2021-01-15,Standard Delivery,CUST-1152,Consumer,India,Panaji,Goa,544077,West,Furniture,Beds,King Size Bed,23833.0,1,0.0,4766.6
IND-12161,2021-01-10,2021-01-16,Standard Delivery,CUST-3909,Corporate,India,Bhubaneswar,Odisha,413290,East,Office Supplies,Stationery,Pen Set Cello,276.97,3,0.05,18.0
IND-02716,2021-01-11,2021-01-14,Express Delivery,CUST-1445,Small Business,India,Jamshedpur,Jharkhand,742944,East,Home & Kitchen,Cookware,Tawa Dosa,1686.97,3,0.05,210.87
IND-11361,2021-01-11,2021-01-16,Standard Delivery,CUST-2055,Consumer,India,Secunderabad,Telangana,630557,South,Furniture,Beds,Queen Size Bed,22743.06,2,0.3,-682.29
IND-12661,2021-01-11,2021-01-17,Standard Delivery,CUST-2158,Corporate,India,Puri,Odisha,711335,East,Home & Kitchen,Cookware,Prestige Pressure Cooker,1340.3,1,0.2,107.22
IND-09312,2021-01-11,2021-01-13,Express Delivery,CUST-3078,Corporate,India,Bhilai,Chhattisgarh,222791,Central,Home & Kitchen,Appliances,Bajaj Mixer Grinder,1917.52,1,0.1,345.15
IND-09944,2021-01-11,2021-01-17,Standard Delivery,CUST-3245,Corporate,India,Guwahati,Assam,393010,East,Electronics,Televisions,LG OLED 55,74259.38,1,0.0,28218.56
IND-09419,2021-01-12,2021-01-13,Same Day Delivery,CUST-3874,Consumer,India,Hisar,Haryana,718628,North,Electronics,Mobile Phones,Realme 12 Pro,57788.03,3,0.0,15602.77
IND-08766,2021-01-12,2021-01-18,Standard Delivery,CUST-3436,Consumer,India,Amritsar,Punjab,469354,North,Furniture,Chairs,Wooden Study Chair,12874.35,3,0.1,1673.67
IND-16889,2021-01-12,2021-01-14,Same Day Delivery,CUST-4201,Consumer,India,Dharmanagar,Tripura,391523,East,Office Supplies,Paper,Sticky Notes Pack,304.73,2,0.15,-1.52
IND-06085,2021-01-12,2021-01-17,Standard Delivery,CUST-2900,Government,India,Haridwar,Uttarakhand,670436,North,Furniture,Sofas,Recliner 2 Seater,86696.31,3,0.05,16038.82
IND-16132,2021-01-12,2021-01-17,Standard Delivery,CUST-1759,Corporate,India,Secunderabad,Telangana,151763,South,Clothing,Mens Wear,Peter England Trousers,1458.05,1,0.05,371.8
IND-02460,2021-01-12,2021-01-17,Standard Delivery,CUST-4254,Consumer,India,Dharmanagar,Tripura,252691,East,Home & Kitchen,Bedding,Pillow Set,677.69,1,0.0,108.43
IND-01345,2021-01-12,2021-01-17,Standard Delivery,CUST-2745,Consumer,India,Bhavnagar,Gujarat,793226,West,Electronics,Mobile Phones,Realme 12 Pro,17115.99,1,0.15,2824.14
IND-01729,2021-01-12,2021-01-17,Standard Delivery,CUST-4884,Consumer,India,Nellore,Andhra Pradesh,612577,South,Furniture,Chairs,Plastic Chair Set,1845.54,1,0.0,276.83
IND-10476,2021-01-13,2021-01-20,Economy Delivery,CUST-2044,Consumer,India,Pune,Maharashtra,495436,West,Furniture,Beds,Bunk Bed,23042.81,2,0.2,691.28
IND-10921,2021-01-13,2021-01-19,Standard Delivery,CUST-3640,Consumer,India,Madurai,Tamil Nadu,251225,South,Office Supplies,Labels,Barcode Labels,797.84,4,0.0,95.74
IND-14045,2021-01-13,2021-01-15,Express Delivery,CUST-4164,Consumer,India,Manali,Himachal Pradesh,374522,North,Office Supplies,Paper,Chart Paper Pack,391.26,3,0.1,7.83
IND-02508,2021-01-13,2021-01-15,Express Delivery,CUST-4173,Consumer,India,Purnia,Bihar,514086,East,Office Supplies,Paper,Sticky Notes Pack,461.31,3,0.15,-2.31
IND-14871,2021-01-13,2021-01-19,Standard Delivery,CUST-2158,Small Business,India,Haldwani,Uttarakhand,758523,North,Furniture,Sofas,Loveseat Sofa,129262.33,10,0.2,3877.87
IND-09083,2021-01-13,2021-01-18,Standard Delivery,CUST-3591,Consumer,India,Haldwani,Uttarakhand,189699,North,Home & Kitchen,Bedding,Pillow Set,1415.89,3,0.2,28.32
IND-06866,2021-01-14,2021-01-16,Express Delivery,CUST-2000,Government,India,Mysuru,Karnataka,465277,South,Office Supplies,Paper,Sticky Notes Pack,1039.71,6,0.05,67.58
IND-15613,2021-01-14,2021-01-22,Economy Delivery,CUST-2626,Consumer,India,Khammam,Telangana,266249,South,Clothing,Footwear,Bata Formal Shoes,5785.84,3,0.1,1330.74
IND-15296,2021-01-14,2021-01-15,Same Day Delivery,CUST-4178,Corporate,India,Warangal,Telangana,448902,South,Home & Kitchen,Bedding,Pillow Set,2392.36,4,0.1,215.31
IND-04525,2021-01-14,2021-01-19,Standard Delivery,CUST-2804,Consumer,India,Bhopal,Madhya Pradesh,506850,Central,Clothing,Footwear,Bata Formal Shoes,2829.64,2,0.4,56.59
IND-06163,2021-01-14,2021-01-20,Standard Delivery,CUST-2592,Small Business,India,Bokaro,Jharkhand,655839,East,Office Supplies,Binders,File Folder Pack,159.56,1,0.1,7.98
IND-13076,2021-01-14,2021-01-19,Standard Delivery,CUST-3801,Consumer,India,Karimnagar,Telangana,618444,South,Electronics,Laptops,Dell Inspiron 15,44820.37,1,0.05,14118.42
IND-08602,2021-01-14,2021-01-20,Standard Delivery,CUST-4393,Consumer,India,Davanagere,Karnataka,262929,South,Office Supplies,Paper,A4 Ream 500 Sheets,1701.66,5,0.05,76.57
IND-09455,2021-01-14,2021-01-20,Standard Delivery,CUST-3429,Consumer,India,Shillong,Meghalaya,485423,East,Home & Kitchen,Cookware,Tawa Dosa,607.87,1,0.1,54.71
IND-14472,2021-01-14,2021-01-17,Express Delivery,CUST-3951,Consumer,India,Bhagalpur,Bihar,580091,East,Electronics,Accessories,USB-C Hub,629.04,1,0.0,94.36
IND-12701,2021-01-14,2021-01-19,Standard Delivery,CUST-3387,Consumer,India,Rohini,Delhi,595955,North,Clothing,Womens Wear,Salwar Kameez,2916.99,3,0.3,87.51
IND-03570,2021-01-14,2021-01-15,Same Day Delivery,CUST-2151,Consumer,India,Shillong,Meghalaya,142473,East,Furniture,Beds,Single Bed Storage,39619.3,5,0.25,-594.29
IND-03517,2021-01-15,2021-01-20,Standard Delivery,CUST-1955,Consumer,India,Hazaribagh,Jharkhand,316205,East,Office Supplies,Paper,Chart Paper Pack,102.64,1,0.25,-8.72
IND-02330,2021-01-15,2021-01-20,Standard Delivery,CUST-1835,Consumer,India,Udaipur,Tripura,689596,East,Home & Kitchen,Cookware,Prestige Pressure Cooker,1508.22,1,0.0,331.81
IND-09713,2021-01-15,2021-01-20,Standard Delivery,CUST-1082,Consumer,India,Berhampur,Odisha,344681,East,Furniture,Beds,Queen Size Bed,13678.04,1,0.2,547.12
IND-08058,2021-01-15,2021-01-20,Standard Delivery,CUST-3299,Corporate,India,Kolkata,West Bengal,579384,East,Electronics,Mobile Phones,iPhone 15,57923.09,1,0.15,18245.77
IND-16637,2021-01-15,2021-01-21,Standard Delivery,CUST-2449,Consumer,India,Tura,Meghalaya,334609,East,Clothing,Mens Wear,Levis Jeans,2197.4,2,0.5,0.0
IND-06834,2021-01-15,2021-01-21,Standard Delivery,CUST-2896,Corporate,India,Shillong,Meghalaya,787771,East,Home & Kitchen,Cookware,Tawa Dosa,1288.66,2,0.0,206.19
IND-08692,2021-01-15,2021-01-21,Standard Delivery,CUST-3237,Corporate,India,Meerut,Uttar Pradesh,565835,North,Furniture,Beds,Single Bed Storage,7309.7,1,0.3,-365.48
IND-14613,2021-01-15,2021-01-17,Express Delivery,CUST-2785,Consumer,India,Dibrugarh,Assam,315585,East,Furniture,Tables,Coffee Table,4574.85,1,0.1,411.74
IND-16972,2021-01-15,2021-01-20,Standard Delivery,CUST-3022,Corporate,India,Solapur,Maharashtra,588912,West,Furniture,Storage,Filing Cabinet,13692.3,2,0.0,2601.54
IND-08723,2021-01-15,2021-01-17,Same Day Delivery,CUST-4249,Small Business,India,Alappuzha,Kerala,112135,South,Home & Kitchen,Cookware,Kadai Iron,4360.98,5,0.1,479.71
IND-04702,2021-01-15,2021-01-20,Standard Delivery,CUST-3247,Corporate,India,Howrah,West Bengal,652701,East,Office Supplies,Stationery,Highlighter Set,388.4,2,0.05,36.9
IND-08380,2021-01-15,2021-01-17,Same Day Delivery,CUST-3513,Consumer,India,Manali,Himachal Pradesh,349844,North,Electronics,Accessories,USB-C Hub,1903.75,3,0.1,152.3
IND-06006,2021-01-16,2021-01-22,Standard Delivery,CUST-1362,Consumer,India,Jorhat,Assam,424617,East,Office Supplies,Paper,Colour Paper Pack,228.72,1,0.2,-11.44
IND-04219,2021-01-16,2021-01-18,Express Delivery,CUST-1464,Consumer,India,Mohali,Punjab,218557,North,Electronics,Accessories,USB-C Hub,2511.85,4,0.0,376.78
IND-08682,2021-01-16,2021-01-24,Economy Delivery,CUST-3923,Small Business,India,Janakpuri,Delhi,629079,North,Office Supplies,Paper,Chart Paper Pack,564.12,4,0.0,50.77
IND-13642,2021-01-16,2021-01-19,Express Delivery,CUST-3047,Small Business,India,Dehradun,Uttarakhand,352297,North,Office Supplies,Labels,Name Badge Labels,321.68,4,0.2,-16.08
IND-05773,2021-01-16,2021-01-22,Standard Delivery,CUST-1124,Consumer,India,Patiala,Punjab,529457,North,Home & Kitchen,Bedding,Woollen Blanket,4812.17,5,0.25,120.3
IND-08053,2021-01-16,2021-01-19,Express Delivery,CUST-2807,Government,India,Bhopal,Madhya Pradesh,446219,Central,Office Supplies,Stationery,Scissors,130.24,1,0.1,5.21
IND-15572,2021-01-16,2021-01-24,Economy Delivery,CUST-1598,Consumer,India,Anantnag,Jammu & Kashmir,709507,North,Furniture,Beds,Queen Size Bed,13474.97,1,0.2,539.0
IND-02949,2021-01-16,2021-01-21,Standard Delivery,CUST-3261,Corporate,India,Bhagalpur,Bihar,265276,East,Furniture,Tables,Foldable Table,8910.71,3,0.0,1069.29
IND-15664,2021-01-16,2021-01-17,Same Day Delivery,CUST-4568,Small Business,India,Solan,Himachal Pradesh,569184,North,Clothing,Womens Wear,Anarkali Suit,1452.96,1,0.5,-130.77
IND-05434,2021-01-17,2021-01-19,Same Day Delivery,CUST-3451,Consumer,India,Roorkee,Uttarakhand,566877,North,Furniture,Tables,Coffee Table,5263.58,1,0.1,473.72
IND-10897,2021-01-17,2021-01-23,Standard Delivery,CUST-2997,Corporate,India,Baramulla,Jammu & Kashmir,457270,North,Furniture,Storage,5-Door Wardrobe,13004.83,1,0.2,130.05
IND-15629,2021-01-17,2021-01-19,Same Day Delivery,CUST-2916,Corporate,India,Panipat,Haryana,728639,North,Office Supplies,Printers,Canon Inkjet,7011.14,1,0.0,1752.79
IND-06224,2021-01-17,2021-01-19,Express Delivery,CUST-2129,Government,India,Siliguri,West Bengal,497841,East,Home & Kitchen,Cookware,Kadai Iron,1891.65,2,0.05,274.29
IND-05192,2021-01-17,2021-01-19,Same Day Delivery,CUST-3550,Consumer,India,Tura,Meghalaya,191169,East,Home & Kitchen,Cookware,Stainless Steel Set,4614.69,2,0.05,715.28
IND-07063,2021-01-17,2021-01-23,Standard Delivery,CUST-2310,Consumer,India,Purnia,Bihar,681834,East,Home & Kitchen,Decor,Photo Frame Set,1048.81,3,0.05,120.61
IND-16983,2021-01-17,2021-01-22,Standard Delivery,CUST-2305,Consumer,India,Karimnagar,Telangana,333334,South,Clothing,Mens Wear,Woodland Jacket,3329.39,1,0.1,832.35
